team,SRS
Boston Celtics,6.11
Cleveland Cavaliers,5.46
New Orleans Pelicans,4.93
Memphis Grizzlies,4.2
Phoenix Suns,3.75
Philadelphia 76ers,3.57
Brooklyn Nets,3.35
Milwaukee Bucks,2.75
New York Knicks,2.59
Dallas Mavericks,2.45
Sacramento Kings,1.49
Toronto Raptors,1.11
Denver Nuggets,1.05
Utah Jazz,0.95
Portland Trailblazers,0.08
Atlanta Hawks,-0.43
Golden State Warriors,-0.6
Los Angeles Clippers,-0.89
Chicago Bulls,-0.91
Oklahoma City Thunder,-0.92
Minnesota Timberwolves,-1.43
Indiana Pacers,-1.46
Miami Heat,-1.78
Washington Wizards,-2.31
Los Angeles Lakers,-2.49
Orlando Magic,-2.56
Houston Rockets,-5.06
Detroit Pistons,-6.57
Charlotte Hornets,-6.74
San Antonio Spurs,-9.12
