date_played,home_team,home_points,away_team,away_points,point_margin,home_srs,away_srs
2022-12-22,New Orleans Pelicans,126,San Antonio Spurs,117,9,4.93,-9.12
2022-12-22,Utah Jazz,120,Washington Wizards,112,8,0.95,-2.31
2022-12-21,Cleveland Cavaliers,114,Milwaukee Bucks,106,8,5.46,2.75
2022-12-21,Philadelphia 76ers,113,Detroit Pistons,93,20,3.57,-6.57
2022-12-21,Atlanta Hawks,108,Chicago Bulls,110,-2,-0.43,-0.91
2022-12-21,Boston Celtics,112,Indiana Pacers,117,-5,6.11,-1.46
2022-12-21,Brooklyn Nets,143,Golden State Warriors,113,30,3.35,-0.6
2022-12-21,New York Knicks,106,Toronto Raptors,113,-7,2.59,1.11
2022-12-21,Houston Rockets,110,Orlando Magic,116,-6,-5.06,-2.56
2022-12-21,Minnesota Timberwolves,99,Dallas Mavericks,104,-5,-1.43,2.45
2022-12-21,Oklahoma City Thunder,101,Portland Trailblazers,98,3,-0.92,0.08
2022-12-21,Sacramento Kings,134,Los Angeles Lakers,120,14,1.49,-2.49
2022-12-21,Los Angeles Clippers,126,Charlotte Hornets,105,21,-0.89,-6.74
2022-12-20,Detroit Pistons,111,Utah Jazz,126,-15,-6.57,0.95
2022-12-20,Miami Heat,103,Chicago Bulls,113,-10,-1.78,-0.91
2022-12-20,New York Knicks,132,Golden State Warriors,94,38,2.59,-0.6
2022-12-20,Phoenix Suns,110,Washington Wizards,113,-3,3.75,-2.31
2022-12-20,Denver Nuggets,105,Memphis Grizzlies,91,14,1.05,4.2
2022-12-19,Cleveland Cavaliers,122,Utah Jazz,99,23,5.46,0.95
2022-12-19,Philadelphia 76ers,104,Toronto Raptors,101,3,3.57,1.11
2022-12-19,Atlanta Hawks,126,Orlando Magic,125,1,-0.43,-2.56
2022-12-19,Houston Rockets,105,San Antonio Spurs,124,-19,-5.06,-9.12
2022-12-19,Minnesota Timberwolves,116,Dallas Mavericks,106,10,-1.43,2.45
2022-12-19,New Orleans Pelicans,119,Milwaukee Bucks,128,-9,4.93,2.75
2022-12-19,Oklahoma City Thunder,123,Portland Trailblazers,121,2,-0.92,0.08
2022-12-19,Phoenix Suns,130,Los Angeles Lakers,104,26,3.75,-2.49
2022-12-19,Sacramento Kings,119,Charlotte Hornets,125,-6,1.49,-6.74
2022-12-18,Boston Celtics,92,Orlando Magic,95,-3,6.11,-2.56
2022-12-18,Indiana Pacers,106,New York Knicks,109,-3,-1.46,2.59
2022-12-18,Detroit Pistons,121,Brooklyn Nets,124,-3,-6.57,3.35
2022-12-18,Toronto Raptors,110,Golden State Warriors,126,-16,1.11,-0.6
2022-12-18,Minnesota Timberwolves,150,Chicago Bulls,126,24,-1.43,-0.91
2022-12-18,Denver Nuggets,119,Charlotte Hornets,115,4,1.05,-6.74
2022-12-18,Los Angeles Lakers,119,Washington Wizards,117,2,-2.49,-2.31
2022-12-17,Los Angeles Clippers,102,Washington Wizards,93,9,-0.89,-2.31
2022-12-17,San Antonio Spurs,101,Miami Heat,111,-10,-9.12,-1.78
2022-12-17,Cleveland Cavaliers,100,Dallas Mavericks,99,1,5.46,2.45
2022-12-17,Houston Rockets,95,Portland Trailblazers,107,-12,-5.06,0.08
2022-12-17,Milwaukee Bucks,123,Utah Jazz,97,26,2.75,0.95
2022-12-17,Oklahoma City Thunder,115,Memphis Grizzlies,109,6,-0.92,4.2
2022-12-17,Phoenix Suns,118,New Orleans Pelicans,114,4,3.75,4.93
2022-12-16,Charlotte Hornets,106,Atlanta Hawks,125,-19,-6.74,-0.43
2022-12-16,Detroit Pistons,113,Sacramento Kings,122,-9,-6.57,1.49
2022-12-16,Boston Celtics,109,Orlando Magic,117,-8,6.11,-2.56
2022-12-16,Cleveland Cavaliers,118,Indiana Pacers,112,6,5.46,-1.46
2022-12-16,Philadelphia 76ers,118,Golden State Warriors,106,12,3.57,-0.6
2022-12-16,Toronto Raptors,116,Brooklyn Nets,119,-3,1.11,3.35
2022-12-16,Chicago Bulls,91,New York Knicks,114,-23,-0.91,2.59
2022-12-16,Oklahoma City Thunder,110,Minnesota Timberwolves,112,-2,-0.92,-1.43
2022-12-16,Dallas Mavericks,130,Portland Trailblazers,110,20,2.45,0.08
2022-12-16,Los Angeles Lakers,126,Denver Nuggets,108,18,-2.49,1.05
2022-12-15,Houston Rockets,108,Miami Heat,111,-3,-5.06,-1.78
2022-12-15,Memphis Grizzlies,142,Milwaukee Bucks,101,41,4.2,2.75
2022-12-15,Utah Jazz,132,New Orleans Pelicans,129,3,0.95,4.93
2022-12-15,Los Angeles Clippers,95,Phoenix Suns,111,-16,-0.89,3.75
2022-12-14,Charlotte Hornets,134,Detroit Pistons,141,-7,-6.74,-6.57
2022-12-14,Indiana Pacers,125,Golden State Warriors,119,6,-1.46,-0.6
2022-12-14,Orlando Magic,135,Atlanta Hawks,124,11,-2.56,-0.43
2022-12-14,Toronto Raptors,123,Sacramento Kings,124,-1,1.11,1.49
2022-12-14,Chicago Bulls,120,New York Knicks,128,-8,-0.91,2.59
2022-12-14,Oklahoma City Thunder,108,Miami Heat,110,-2,-0.92,-1.78
2022-12-14,San Antonio Spurs,112,Portland Trailblazers,128,-16,-9.12,0.08
2022-12-14,Dallas Mavericks,90,Cleveland Cavaliers,105,-15,2.45,5.46
2022-12-14,Denver Nuggets,141,Washington Wizards,128,13,1.05,-2.31
2022-12-14,Los Angeles Clippers,99,Minnesota Timberwolves,88,11,-0.89,-1.43
